ss,Unnamed1,name,price,images,rating,product_description,number_of_reviews,name_clean,category_clean
134,757,"Certified Refurbished Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Black (2019 Release)",,"['https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX466_.jpg']",4.6 out of 5,nan,"8,112 global ratings","['gb', 'display', 'refurbish', 'full', 'black', 'fire', 'tablet', 'releas', 'hd', 'certifi']",['nan']
135,759,"Certified Refurbished Fire HD 10 Tablet (10.1"" 1080p full HD display, 32 GB) – Twilight Blue (2019 Release)",,"['https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61h40XdGGQL._AC_SX466_.jpg']",4.6 out of 5,nan,"8,112 global ratings","['gb', 'display', 'refurbish', 'full', 'blue', 'twilight', 'fire', 'tablet', 'releas', 'hd', 'certifi']",['nan']
136,769,Belden 2413 D15A1000 Enhanced Category 6 Nonbonded-Pair Cables - 1000 Feet),,"['https://m.media-amazon.com/images/I/511vTq+IvUL._SX342_.jpg', 'https://m.media-amazon.com/images/I/511vTq+IvUL._SX385_.jpg', 'https://m.media-amazon.com/images/I/511vTq+IvUL._SX522_.jpg', 'https://m.media-amazon.com/images/I/511vTq+IvUL._SX466_.jpg', 'https://m.media-amazon.com/images/I/511vTq+IvUL._SX425_.jpg']",,Electronics › Computers & Accessories › Computer Accessories & Peripherals › Cables & Accessories › Cables & Interconnects › Ethernet Cables › Cat 5e Cables,,"['feet', 'nonbondedpair', 'categori', 'belden', 'cabl', 'enhanc']","['electron', 'interconnect', 'cat', 'peripher', 'comput', 'accessori', 'cabl', 'ethernet']"
137,774,"SENNHEISER HD 599 Open Back Headphone, Ivory",$138.00,"['https://m.media-amazon.com/images/I/61rC-yMhtZL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61rC-yMhtZL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61rC-yMhtZL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61rC-yMhtZL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61rC-yMhtZL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61rC-yMhtZL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61rC-yMhtZL._AC_SY355_.jpg']",4.7 out of 5,Electronics › Headphones › Over-Ear Headphones,"5,244 global ratings","['back', 'ivori', 'headphon', 'sennheis', 'hd', 'open']","['headphon', 'electron', 'overear']"
138,775,Fujifilm Wide Instant Film Twin Pack X2 (40 Sheets) + Camera and Lens Cleaning Cloth,$44.95,"['https://m.media-amazon.com/images/I/71-zea6lSHL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71-zea6lSHL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71-zea6lSHL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71-zea6lSHL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71-zea6lSHL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71-zea6lSHL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71-zea6lSHL._AC_SY450_.jpg']",4.9 out of 5,Electronics › Camera & Photo › Film Photography › Film,"1,903 global ratings","['pack', 'camera', 'wide', 'film', 'instant', 'len', 'twin', 'cloth', 'fujifilm', 'sheet', 'clean']","['camera', 'film', 'electron', 'photo', 'photographi']"
139,779,"Vanfast Mac Book Pro Charger,Replacement for Mac Book Pro 13 Inch 2012-2016 Retina Display AC 60W 2 T Shape Connector Power Adapter",$19.99,"['https://m.media-amazon.com/images/I/51bSPJG1s-L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/51bSPJG1s-L._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/51bSPJG1s-L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/51bSPJG1s-L._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/51bSPJG1s-L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/51bSPJG1s-L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/51bSPJG1s-L._AC_SX522_.jpg']",4.5 out of 5,Electronics › Computers & Accessories › Laptop Accessories › Chargers & Adapters,"1,246 global ratings","['inch', 'display', 'connector', 'mac', 'replac', 'adapt', 'pro', 'shape', 'ac', 'book', 'vanfast', 'retina', 'charger', 'power']","['electron', 'adapt', 'comput', 'laptop', 'accessori', 'charger']"
140,786,"fast Cat. Cat5e Ethernet Cable 1000ft - 24 AWG, CMR, Insulated Bare Copper Wire Internet Cable with FastReel - 350MHZ / Gigabit Speed UTP LAN Cable - CMR (Orange)",$132.50,"['https://m.media-amazon.com/images/I/712ClVdirSL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/712ClVdirSL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/712ClVdirSL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/712ClVdirSL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/712ClVdirSL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/712ClVdirSL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/712ClVdirSL._AC_SY450_.jpg']",4.8 out of 5,Electronics › Computers & Accessories › Computer Accessories & Peripherals › Cables & Accessories › Cables & Interconnects › Ethernet Cables › Cat 6 Cables,513 global ratings,"['cmr', 'lan', 'fastreel', 'awg', 'bare', 'wire', 'gigabit', 'orang', 'cat', 'fast', 'internet', 'insul', 'utp', 'cabl', 'ethernet', 'copper', 'speed']","['electron', 'interconnect', 'cat', 'peripher', 'comput', 'accessori', 'cabl', 'ethernet']"
141,787,45W 19.5V 2.31A AC Adapter Laptop Charger Compatible for HP Notebook 15 Charger 15-ba009dx 15-ba079dx 15-ba113cl 15-bs015dx 15-bs113dx 15-bs115dx 15-bw011dx 15-bw032wm Laptop PC Power Supply Cord,$14.05,"['https://m.media-amazon.com/images/I/71u49k48QUL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71u49k48QUL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71u49k48QUL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71u49k48QUL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71u49k48QUL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71u49k48QUL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71u49k48QUL._AC_SY450_.jpg']",4.7 out of 5,Electronics › Computers & Accessories › Laptop Accessories › Chargers & Adapters,"2,547 global ratings","['cord', 'compat', 'suppli', 'adapt', 'hp', 'pc', 'ac', 'laptop', 'notebook', 'charger', 'power']","['electron', 'adapt', 'comput', 'laptop', 'accessori', 'charger']"
142,797,"Unitek USB 3.0 to IDE and SATA Converter External Hard Drive Adapter Kit for Universal 2.5/3.5 HDD/SSD Hard Drive Disk, One Touch Backup Function and Restore Software, Included 12V/2A Power Adapter",$32.59,"['https://m.media-amazon.com/images/I/71+B7udq9gL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71+B7udq9gL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71+B7udq9gL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71+B7udq9gL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71+B7udq9gL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71+B7udq9gL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71+B7udq9gL._AC_SX679_.jpg']",4.5 out of 5,Electronics › Computers & Accessories,"4,183 global ratings","['ide', 'convert', 'function', 'kit', 'hddssd', 'sata', 'extern', 'adapt', 'touch', 'hard', 'drive', 'unitek', 'usb', 'restor', 'univers', 'softwar', 'power', 'backup', 'one', 'disk', 'includ']","['comput', 'electron', 'accessori']"
143,806,24 Pack Wholesale Lot Panasonic Super Heavy Duty D Batteries,$20.79,"['https://m.media-amazon.com/images/I/71LOU9V1rXL._AC_SX355_.jpg', 'https://m.media-amazon.com/images/I/71LOU9V1rXL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71LOU9V1rXL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71LOU9V1rXL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71LOU9V1rXL._AC_SX450_.jpg', 'https://m.media-amazon.com/images/I/71LOU9V1rXL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71LOU9V1rXL._AC_SX569_.jpg']",4.6 out of 5,Health & Household › Household Supplies › Household Batteries › D,"2,715 global ratings","['pack', 'lot', 'panason', 'heavi', 'wholesal', 'duti', 'batteri', 'super']","['batteri', 'health', 'suppli', 'household']"
144,815,"Satechi Aluminum Multi-Port Adapter V2 - 4K HDMI (60Hz), Gigabit Ethernet, USB-C Charging, SD/Micro Card Readers, USB 3.0 - Compatible with 2020 MacBook Pro/ Air M1 (Silver)",$79.99,"['https://m.media-amazon.com/images/I/71icy7RpK1L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71icy7RpK1L._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71icy7RpK1L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71icy7RpK1L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71icy7RpK1L._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71icy7RpK1L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71icy7RpK1L._AC_SX679_.jpg']",4.3 out of 5,Electronics › Computers & Accessories › Computer Accessories & Peripherals › USB Hubs,"3,697 global ratings","['sdmicro', 'aluminum', 'compat', 'silver', 'usb', 'gigabit', 'ethernet', 'card', 'adapt', 'charg', 'pro', 'usbc', 'macbook', 'reader', 'hdmi', 'multiport', 'satechi', 'air']","['usb', 'electron', 'peripher', 'comput', 'accessori', 'hub']"
145,816,"Samsung Galaxy Tab S8+, Tab S7 FE, Tab S7+ Lite Slim Keyboard Cover, Sturdy, Ultra Lightweight, Large Key Sizes, S Pen Holder, US Version, Black(Packaging may vary)",$103.48,"['https://m.media-amazon.com/images/I/91kQuykYp7S._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/91kQuykYp7S._AC_SX450_.jpg', 'https://m.media-amazon.com/images/I/91kQuykYp7S._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/91kQuykYp7S._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/91kQuykYp7S._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/91kQuykYp7S._AC_SX355_.jpg', 'https://m.media-amazon.com/images/I/91kQuykYp7S._AC_SX522_.jpg']",4.6 out of 5,"Electronics › Computers & Accessories › Tablet Accessories › Bags, Cases & Sleeves › Keyboard Cases",226 global ratings,"['black', 'size', 'holder', 'key', 'samsung', 'cover', 'version', 'slim', 'fe', 'tab', 'ultra', 'us', 'larg', 'packag', 'may', 'sturdi', 'lite', 'lightweight', 'pen', 'vari', 'keyboard', 'galaxi']","['bag', 'case', 'electron', 'sleev', 'tablet', 'comput', 'accessori', 'keyboard']"
146,822,"Bluetooth Thermal Shipping Label Printer - High Speed 4x6 Wireless Label Maker Machine, Support PC, Phone, USB for MAC, Compatible with Ebay, Amazon, Shopify, Etsy, USPS Barcode, Mailing",$159.00,"['https://m.media-amazon.com/images/I/61fL8mY3e3L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61fL8mY3e3L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61fL8mY3e3L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61fL8mY3e3L._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61fL8mY3e3L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61fL8mY3e3L._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61fL8mY3e3L._AC_SX522_.jpg']",4.1 out of 5,"Office Electronics › Printers & Accessories › Printer Parts & Accessories › Printer Transfer Belts, Rollers & Units › Printer Transfer Rollers",631 global ratings,"['high', 'etsi', 'mail', 'printer', 'amazon', 'compat', 'wireless', 'mac', 'thermal', 'ship', 'ebay', 'bluetooth', 'usb', 'usp', 'barcod', 'phone', 'maker', 'support', 'label', 'machin', 'shopifi', 'pc', 'speed']","['belt', 'unit', 'offic', 'electron', 'roller', 'accessori', 'part', 'transfer', 'printer']"
147,827,3387134 High-Limit Thermostat 3392519 Dryer Thermal Fuse 3977393 Cut-off Switch 3977767 Cycling Thermostat Compatible with whirlpool kenmore maytag Replaces Parts 3399693 PS345113 AP6008325,$14.99,"['https://m.media-amazon.com/images/I/61-uz2mPR5L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61-uz2mPR5L._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61-uz2mPR5L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61-uz2mPR5L._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61-uz2mPR5L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61-uz2mPR5L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61-uz2mPR5L._AC_SX569_.jpg']",4.6 out of 5,Appliances › Parts & Accessories › Dryer Parts & Accessories › Replacement Parts,"3,026 global ratings","['compat', 'maytag', 'thermostat', 'kenmor', 'replac', 'fuse', 'dryer', 'switch', 'whirlpool', 'part', 'thermal', 'cycl', 'cutoff', 'highlimit']","['applianc', 'replac', 'dryer', 'accessori', 'part']"
148,829,"BUNN 6001 12-Cup Commercial Coffee Filters, 500-count, White",$14.44,"['https://m.media-amazon.com/images/I/61tQrfKYCdL._SX385_.jpg', 'https://m.media-amazon.com/images/I/61tQrfKYCdL._SX425_.jpg', 'https://m.media-amazon.com/images/I/61tQrfKYCdL._SX466_.jpg', 'https://m.media-amazon.com/images/I/61tQrfKYCdL._SX342_.jpg', 'https://m.media-amazon.com/images/I/61tQrfKYCdL._SX522_.jpg']",4.7 out of 5,Small Appliance Parts & Accessories › Coffee & Espresso Machine Parts & Accessories › Coffee Machine Accessories › Coffee Filters › Disposable Filters,"3,102 global ratings","['bunn', 'white', 'coffe', 'commerci', 'filter']","['applianc', 'small', 'espresso', 'machin', 'coffe', 'accessori', 'part', 'filter', 'dispos']"
149,830,"Dryer Heating Element DC47-00019A, DC96-00887A and DC47-00016A Thermal Fuse, DC32-00007A Dryer Thermistor, Thermostat DC47-00018A Repair Kit Compatible With Samsung, Figure 6 is Fit Models",$35.99,"['https://m.media-amazon.com/images/I/71cJScsH8TL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71cJScsH8TL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71cJScsH8TL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71cJScsH8TL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71cJScsH8TL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71cJScsH8TL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71cJScsH8TL._AC_SX679_.jpg']",4.5 out of 5,Appliances › Parts & Accessories › Dryer Parts & Accessories › Replacement Parts,"7,543 global ratings","['figur', 'compat', 'repair', 'element', 'thermistor', 'thermostat', 'fuse', 'dryer', 'heat', 'samsung', 'thermal', 'kit', 'fit', 'model']","['applianc', 'replac', 'dryer', 'accessori', 'part']"
150,837,"Anewise Filter Replacement for Shark Navigator Lift Away Deluxe Professional Vacuum ZU503AMZ, NV350, NV351, NV352, NV355, NV357, NV360, NV370, NV391, UV440, UV540, Compare to Parts #XFF350 & #XHF350, 1 HEPA + 2 Pre-Felt Filters",$15.99,"['https://m.media-amazon.com/images/I/41e84I1jV7L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/41e84I1jV7L._AC_.jpg', 'https://m.media-amazon.com/images/I/41e84I1jV7L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/41e84I1jV7L._AC_SX450_.jpg', 'https://m.media-amazon.com/images/I/41e84I1jV7L._AC_SX355_.jpg']",4.7 out of 5,Janitorial & Sanitation Supplies › Vacuums & Floor Cleaning Machines › Vacuum Parts & Accessories › Vacuum Filters › Upright Filters,"21,256 global ratings","['vacuum', 'away', 'prefelt', 'hepa', 'delux', 'navig', 'replac', 'shark', 'compar', 'part', 'lift', 'profession', 'anewis', 'filter']","['janitori', 'vacuum', 'suppli', 'floor', 'machin', 'accessori', 'part', 'upright', 'sanit', 'filter', 'clean']"
151,840,"Keurig K-Mini Plus Coffee Maker, Single Serve K-Cup Pod Coffee Brewer, 6 to 12 oz. Brew Size, Stores up to 9 K-Cup Pods, Black",$98.39,"['https://m.media-amazon.com/images/I/71mxNB9W3qL._AC_SY741_.jpg', 'https://m.media-amazon.com/images/I/71mxNB9W3qL._AC_SY679_.jpg', 'https://m.media-amazon.com/images/I/71mxNB9W3qL._AC_SY879_.jpg', 'https://m.media-amazon.com/images/I/71mxNB9W3qL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71mxNB9W3qL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71mxNB9W3qL._AC_SY606_.jpg', 'https://m.media-amazon.com/images/I/71mxNB9W3qL._AC_SY550_.jpg']",4.5 out of 5,"Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Coffee Makers › Single-Serve Brewers","28,963 global ratings","['black', 'size', 'kcup', 'serv', 'maker', 'kmini', 'brew', 'coffe', 'oz', 'brewer', 'plu', 'store', 'keurig', 'pod', 'singl']","['tea', 'maker', 'brewer', 'kitchen', 'home', 'dine', 'coffe', 'espresso', 'singleserv']"
152,843,"Keurig K-Supreme Coffee Maker, Single Serve K-Cup Pod Coffee Brewer, With MultiStream Technology, 66 Oz Dual-Position Reservoir, and Customizable Settings, Black",$153.97,"['https://m.media-amazon.com/images/I/81yMihw2sZL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/81yMihw2sZL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/81yMihw2sZL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/81yMihw2sZL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/81yMihw2sZL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/81yMihw2sZL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/81yMihw2sZL._AC_SX466_.jpg']",4.5 out of 5,"Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Coffee Makers › Single-Serve Brewers","10,752 global ratings","['multistream', 'dualposit', 'black', 'kcup', 'customiz', 'ksuprem', 'maker', 'serv', 'reservoir', 'coffe', 'technolog', 'brewer', 'oz', 'keurig', 'pod', 'singl', 'set']","['tea', 'maker', 'brewer', 'kitchen', 'home', 'dine', 'coffe', 'espresso', 'singleserv']"
153,847,"Vornado 460 Small Whole Room Air Circulator Fan with 3 Speeds, 460-Small, Black",$49.99,"['https://m.media-amazon.com/images/I/813i5B+0G8L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/813i5B+0G8L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/813i5B+0G8L._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/813i5B+0G8L._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/813i5B+0G8L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/813i5B+0G8L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/813i5B+0G8L._AC_SX569_.jpg']",4.7 out of 5,"Home & Kitchen › Heating, Cooling & Air Quality › Household Fans › Table Fans","12,493 global ratings","['fan', 'circul', 'black', 'whole', 'vornado', 'room', 'small', 'air', 'speed']","['qualiti', 'fan', 'tabl', 'household', 'kitchen', 'heat', 'home', 'cool', 'air']"
154,853,"Instant Vortex 5.7QT Large Air Fryer Oven Combo (Free App With 90 Recipes), Customizable Smart Cooking Programs, Nonstick and Dishwasher-Safe Basket, Black",$89.95,"['https://m.media-amazon.com/images/I/61dtu0t3g1L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61dtu0t3g1L._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61dtu0t3g1L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61dtu0t3g1L._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61dtu0t3g1L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61dtu0t3g1L._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61dtu0t3g1L._AC_SY355_.jpg']",4.7 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Ovens & Toasters › Toaster Ovens,"13,215 global ratings","['black', 'fryer', 'customiz', 'instant', 'vortex', 'cook', 'recip', 'nonstick', 'dishwashersaf', 'program', 'basket', 'oven', 'combo', 'larg', 'free', 'air', 'smart', 'app']","['applianc', 'kitchen', 'toaster', 'home', 'dine', 'oven', 'small']"
155,889,"Reusable K Cup Coffee Filters Set, 4-Pack K Cup Coffee Pod Filters with 2 Tbsp Coffee Scoop, Refillable Single K Cup Compatible with Keurig 1.0 & 2.0 and Select Single Cup Coffee Makers",$8.14,"['https://m.media-amazon.com/images/I/61Oecn94gyL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61Oecn94gyL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61Oecn94gyL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61Oecn94gyL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61Oecn94gyL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61Oecn94gyL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61Oecn94gyL._AC_SX425_.jpg']",4.6 out of 5,Small Appliance Parts & Accessories › Coffee & Espresso Machine Parts & Accessories › Coffee Machine Accessories › Coffee Filters › Reusable Filters,842 global ratings,"['compat', 'reusabl', 'maker', 'tbsp', 'keurig', 'select', 'cup', 'coffe', 'k', 'singl', 'scoop', 'pod', 'set', 'filter', 'refil']","['applianc', 'reusabl', 'small', 'espresso', 'machin', 'coffe', 'accessori', 'part', 'filter']"
156,908,"Slushie Maker Cup, Magic Quick Frozen Smoothies Cup Cooling Cup Double Layer Squeeze Cup Slushy Maker Cup, Homemade Milk Shake Ice Cream Maker DIY it for Children and Family",$18.89,"['https://m.media-amazon.com/images/I/51czmtKnRrL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/51czmtKnRrL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/51czmtKnRrL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/51czmtKnRrL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/51czmtKnRrL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/51czmtKnRrL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/51czmtKnRrL._AC_SX522_.jpg']",4 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Ice Cream Machines,559 global ratings,"['homemad', 'diy', 'frozen', 'slushi', 'famili', 'shake', 'smoothi', 'cream', 'ice', 'squeez', 'doubl', 'layer', 'cup', 'cool', 'children', 'maker', 'milk', 'quick', 'magic']","['applianc', 'cream', 'ice', 'kitchen', 'home', 'dine', 'machin', 'small']"
157,923,Pure Enrichment Genuine 2-in-1 True HEPA Replacement Filter for the PureZone Elite 4-in-1 Air Purifier (PEAIRTWR),,"['https://m.media-amazon.com/images/I/819TGKsjhbS._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/819TGKsjhbS._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/819TGKsjhbS._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/819TGKsjhbS._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/819TGKsjhbS._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/819TGKsjhbS._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/819TGKsjhbS._AC_SX522_.jpg']",4.7 out of 5,"Home & Kitchen › Heating, Cooling & Air Quality › Parts & Accessories › Air Purifier Parts & Accessories",997 global ratings,"['peairtwr', 'genuin', 'pure', 'hepa', 'replac', 'purifi', 'elit', 'enrich', 'true', 'purezon', 'filter', 'air']","['qualiti', 'kitchen', 'part', 'heat', 'home', 'accessori', 'cool', 'purifi', 'air']"
158,928,"RENPHO Hepa Air Purifiers for Home Bedroom Pets Hair, Air Filter, Air Cleaner, Eliminate Dander Smoke Pollen Dust Airborne with 3-Stage Filtration System, Desktop, Table Top, Small Room",,"['https://m.media-amazon.com/images/I/51iUk6lmQAL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/51iUk6lmQAL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/51iUk6lmQAL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/51iUk6lmQAL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/51iUk6lmQAL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/51iUk6lmQAL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/51iUk6lmQAL._AC_SX569_.jpg']",4.7 out of 5,"Home & Kitchen › Heating, Cooling & Air Quality › Air Purifiers › HEPA Air Purifiers","4,298 global ratings","['dander', 'air', 'top', 'dust', 'room', 'filtrat', 'home', 'hair', 'smoke', 'purifi', 'cleaner', 'pet', 'pollen', 'tabl', 'system', 'small', 'hepa', 'bedroom', 'airborn', 'desktop', 'elimin', 'renpho', 'filter']","['qualiti', 'hepa', 'kitchen', 'heat', 'home', 'cool', 'purifi', 'air']"
159,936,"BISSELL, 2804 Replacement High Efficiency Filter for Air320 Air Purifier",$21.99,"['https://m.media-amazon.com/images/I/61QqdRNDQbL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61QqdRNDQbL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61QqdRNDQbL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61QqdRNDQbL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61QqdRNDQbL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61QqdRNDQbL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61QqdRNDQbL._AC_SY450_.jpg']",4.8 out of 5,"Home & Kitchen › Heating, Cooling & Air Quality › Parts & Accessories › Air Purifier Parts & Accessories","1,029 global ratings","['bissel', 'high', 'replac', 'effici', 'purifi', 'filter', 'air']","['qualiti', 'kitchen', 'part', 'heat', 'home', 'accessori', 'cool', 'purifi', 'air']"
